"product_id","product_name","category","subcategory","brand","price","mrp","discount_percent","description","rating","num_reviews","image_url","stock","is_featured","tags"
"P000001","Apple Smartphone Elite 350","Electronics","Smartphone","Apple","21740.81","30033.02","27.6","Premium quality Smartphone by Apple. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.4","35841","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","44","False","trending,featured,recommended"
"P000002","Samsung Smartphone Plus 617","Electronics","Smartphone","Samsung","50151.4","65325.22","23.2","Premium quality Smartphone by Samsung. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.4","46062","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","279","False","bestseller,sale,new arrival"
"P000003","Apple Smartphone Ultra 814","Electronics","Smartphone","Apple","36696.08","43119.44","14.9","Premium quality Smartphone by Apple. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","3.4","22159","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","52","True","sale,trending,new arrival"
"P000004","OnePlus Smartphone Air 370","Electronics","Smartphone","OnePlus","65534.62","90331.56","27.5","Premium quality Smartphone by OnePlus. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.1","24907","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","40","False","featured,recommended,new arrival"
"P000005","Asus Smartphone Plus 821","Electronics","Smartphone","Asus","10216.64","13767.62","25.8","Premium quality Smartphone by Asus. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.5","5329","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","437","True","trending,sale,new arrival"
"P000006","Sony Smartphone Max 266","Electronics","Smartphone","Sony","32763.57","37490.64","12.6","Premium quality Smartphone by Sony. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","3.5","44896","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","331","True","recommended,bestseller,featured"
"P000007","Samsung Smartphone Prime 488","Electronics","Smartphone","Samsung","25246.09","37021.52","31.8","Premium quality Smartphone by Samsung. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.4","14492","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","350","False","trending,bestseller,featured"
"P000008","OnePlus Smartphone Mini 374","Electronics","Smartphone","OnePlus","9964.15","14556.74","31.5","Premium quality Smartphone by OnePlus. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.1","47149","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","161","True","featured,sale,recommended"
"P000009","Sony Smartphone Ultra 371","Electronics","Smartphone","Sony","15472.27","21432.89","27.8","Premium quality Smartphone by Sony. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.1","49056","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","299","False","recommended,sale,new arrival"
"P000010","Samsung Smartphone Ultra 621","Electronics","Smartphone","Samsung","42013.69","58403.31","28.1","Premium quality Smartphone by Samsung. Features advanced technology and elegant design. Ideal for daily use. Comes with 1-year warranty.","4.7","10116","https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop","321","True","featured,sale,trending"
